loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,habitable_zone,habitable
5047,K2-3 d,K2-3,1,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,44.55603,0.00013,-0.00012,0.0,0.2014,0.0034,-0.0033,0.0,1.458,0.056,-0.051,0.0,0.13,0.005,-0.005,0.0,2.2,,,1.0,0.00692,,,1.0,Mass,0.091,0.12,-0.064,0.0,1.44,0.14,-0.14,0.0,305.0,3.0,-3.0,0.0,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0.0,0.55,0.02,-0.02,0.0,0.55,0.03,-0.03,0.0,-0.157,0.075,-0.08,0.0,[Fe/H],4.7,0.02,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959,2023-07-10,2022-11,2023-07-10,Yes,Yes
5623,K2-72 e,K2-72,1,1,4,Transit,2016,K2,Published Confirmed,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,24.158868,0.003726,-0.00385,0.0,0.106,0.009,-0.013,0.0,1.29,0.14,-0.13,0.0,0.115,0.012,-0.012,0.0,,,,,,,,,,0.11,0.198676,-0.086832,0.0,1.2,0.2,-0.2,0.0,,,,,0,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,,3360.47,87.24,-86.34,0.0,0.33,0.03,-0.03,0.0,0.27,0.08,-0.09,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h18m29.46s,334.6227504,-09d36m43.23s,-9.6120084,66.4321,0.2003,-0.1991,15.37,0.126,-0.126,10.962,0.021,-0.021,14.2789,0.000527,-0.000527,2017-12-12,2017-11,2017-10-26,Yes,No
15267,Kepler-1649 c,Kepler-1649,1,1,2,Transit,2020,Kepler,Published Confirmed,0,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...893L..27V/abstract target=ref>Vanderburg et al. 2020</a>,19.53527,0.0001,-0.0001,0.0,,,,,1.06,0.15,-0.1,0.0,0.095,0.013,-0.009,0.0,,,,,,,,,,,,,,0.75,0.03,-0.3,0.0,234.0,20.0,-20.0,0.0,0,<a refstr=VANDERBURG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...893L..27V/abstract target=ref>Vanderburg et al. 2020</a>,,3240.0,61.0,-61.0,0.0,0.23,0.0,0.0,0.0,0.2,0.01,-0.01,0.0,-0.15,0.11,-0.11,0.0,[M/H],5.0,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m00.71s,292.5029676,+41d49m47.98s,41.8299933,92.1913,0.5489,-0.5425,17.95,0.2,-0.2,12.589,0.026,-0.026,16.2682,0.001018,-0.001018,2020-04-16,2020-04,2020-04-23,Yes,Yes
15314,Kepler-1652 b,Kepler-1652,1,1,1,Transit,2017,Kepler,Published Confirmed,0,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,38.09722,0.00021,-0.00021,0.0,0.1654,0.0042,-0.0075,0.0,1.6,0.18,-0.18,0.0,0.143,0.016,-0.016,0.0,,,,,,,,,,,,,,0.81,0.16,-0.13,0.0,268.0,27.0,-20.0,0.0,0,<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,,3638.0,51.0,-51.0,0.0,0.38,0.04,-0.04,0.0,0.4,0.04,-0.05,0.0,-0.3,0.12,-0.12,0.0,[Fe/H],4.88,0.05,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h37m27.85s,294.3660313,+49d54m54.08s,49.9150219,,,,16.86,1.133,-1.133,12.635,0.024,-0.024,16.0023,0.00464,-0.00464,2017-11-14,2017-12,2017-11-16,Yes,Yes
17729,Kepler-186 f,Kepler-186,1,1,5,Transit,2014,Kepler,Published Confirmed,1,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,129.9441,0.0013,-0.0012,0.0,0.432,0.171,-0.053,0.0,1.17,0.08,-0.08,0.0,0.104,0.007,-0.007,0.0,,,,,,,,,,0.04,0.07,-0.04,-1.0,0.3,0.1,-0.15,0.0,,,,,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,,3755.0,90.0,-90.0,0.0,0.52,0.02,-0.02,0.0,0.54,0.02,-0.02,0.0,-0.26,0.12,-0.12,0.0,[Fe/H],4.74,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h54m36.66s,298.652736,+43d57m17.96s,43.9549884,177.594,0.774,-0.774,15.138,0.08,-0.08,11.605,0.018,-0.018,14.5994,0.000356,-0.000356,2015-01-14,2015-02,2015-01-14,Yes,No
22666,Kepler-296 e,Kepler-296,1,2,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>,34.14211,0.00025,-0.00025,0.0,0.169,0.029,-0.028,0.0,1.53,0.27,-0.25,0.0,0.136,0.024,-0.022,0.0,,,,,,,,,,0.33,,,1.0,1.41,0.25,-0.21,0.0,,,,,0,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>,,3740.0,130.0,-130.0,0.0,0.48,0.07,-0.09,0.0,0.5,0.07,-0.09,0.0,-0.08,0.28,-0.3,0.0,[Fe/H],4.77,0.09,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2015-09-02,2015-08,2015-09-03,Yes,No
22681,Kepler-296 f,Kepler-296,1,2,5,Transit,2014,Kepler,Published Confirmed,0,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>,63.33627,0.0006,-0.00062,0.0,0.255,0.043,-0.042,0.0,1.8,0.31,-0.3,0.0,0.161,0.028,-0.027,0.0,,,,,,,,,,0.33,,,1.0,0.62,0.11,-0.1,0.0,,,,,0,<a refstr=BARCLAY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809....7B/abstract target=ref>Barclay et al. 2015</a>,,3740.0,130.0,-130.0,0.0,0.48,0.07,-0.09,0.0,0.5,0.07,-0.09,0.0,-0.08,0.28,-0.3,0.0,[Fe/H],4.77,0.09,-0.06,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m09.61s,286.5400278,+49d26m14.14s,49.4372614,,,,16.363,1.133,-1.133,12.6,0.028,-0.028,15.9015,0.003522,-0.003522,2015-09-02,2015-08,2015-09-03,Yes,No
26606,Kepler-438 b,Kepler-438,1,1,1,Transit,2015,Kepler,Published Confirmed,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,35.23319,0.00025,-0.00029,0.0,0.166,0.051,-0.042,0.0,1.12,0.16,-0.17,0.0,0.1,0.01,-0.02,0.0,,,,,,,,,,0.03,0.1,-0.03,-1.0,1.4,0.67,-0.77,0.0,,,,,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,,3748.0,112.0,-112.0,0.0,0.52,0.04,-0.06,0.0,0.54,0.04,-0.06,0.0,0.16,0.14,-0.14,0.0,[Fe/H],4.74,0.06,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h46m34.97s,281.6457236,+41d57m03.85s,41.9510686,,,,15.104,0.252,-0.252,11.199,0.02,-0.02,14.4852,0.001258,-0.001258,2015-01-06,2015-02,2015-01-06,Yes,No
26638,Kepler-440 b,Kepler-440,1,1,1,Transit,2015,Kepler,Published Confirmed,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,101.11141,0.00087,-0.00068,0.0,0.242,0.066,-0.041,0.0,1.86,0.24,-0.19,0.0,0.17,0.02,-0.02,0.0,,,,,,,,,,0.34,0.12,-0.19,-1.0,1.2,0.46,-0.65,0.0,,,,,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,,4134.0,154.0,-154.0,0.0,0.56,0.03,-0.05,0.0,0.57,0.04,-0.05,0.0,-0.3,0.15,-0.15,0.0,[Fe/H],4.71,0.05,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m24.02s,285.3500664,+41d27m08.53s,41.4523695,301.03,2.278,-2.278,15.637,0.172,-0.172,12.121,0.021,-0.021,15.1058,0.00038,-0.00038,2015-01-06,2015-02,2015-01-06,Yes,No
26662,Kepler-442 b,Kepler-442,1,1,1,Transit,2015,Kepler,Published Confirmed,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,112.3053,0.0024,-0.0028,0.0,0.409,0.209,-0.06,0.0,1.34,0.11,-0.18,0.0,0.12,0.01,-0.02,0.0,,,,,,,,,,0.04,0.08,-0.04,-1.0,0.66,0.23,-0.41,0.0,,,,,0,<a refstr=TORRES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...99T/abstract target=ref>Torres et al. 2015</a>,,4402.0,100.0,-100.0,0.0,0.6,0.02,-0.02,0.0,0.61,0.03,-0.03,0.0,-0.37,0.1,-0.1,0.0,[Fe/H],4.67,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h01m27.98s,285.3666029,+39d16m48.25s,39.2800704,365.965,2.763,-2.724,15.322,0.057,-0.057,12.488,0.022,-0.022,14.9304,0.000287,-0.000287,2015-01-06,2015-02,2015-01-06,Yes,No
